step    500 / 25000 | loss 0.0184
step   1000 / 25000 | loss 0.0159
step   1500 / 25000 | loss 0.0167
step   2000 / 25000 | loss 0.0161
step   2500 / 25000 | loss 0.0165
step   3000 / 25000 | loss 0.0158
step   3500 / 25000 | loss 0.0152
step   4000 / 25000 | loss 0.0169
step   4500 / 25000 | loss 0.0169
step   5000 / 25000 | loss 0.0161
step   5500 / 25000 | loss 0.0165
step   6000 / 25000 | loss 0.0165
step   6500 / 25000 | loss 0.0163
step   7000 / 25000 | loss 0.0158
step   7500 / 25000 | loss 0.0166
step   8000 / 25000 | loss 0.0165
step   8500 / 25000 | loss 0.0161
step   9000 / 25000 | loss 0.0170
step   9500 / 25000 | loss 0.0167
step  10000 / 25000 | loss 0.0163
step  10500 / 25000 | loss 0.0165
step  11000 / 25000 | loss 0.0164
step  11500 / 25000 | loss 0.0163
step  12000 / 25000 | loss 0.0159
step  12500 / 25000 | loss 0.0161
step  13000 / 25000 | loss 0.0164
step  13500 / 25000 | loss 0.0156
step  14000 / 25000 | loss 0.0162
step  14500 / 25000 | loss 0.0161
step  15000 / 25000 | loss 0.0157
step  15500 / 25000 | loss 0.0167
step  16000 / 25000 | loss 0.0162
step  16500 / 25000 | loss 0.0166
step  17000 / 25000 | loss 0.0162
step  17500 / 25000 | loss 0.0173
step  18000 / 25000 | loss 0.0165
step  18500 / 25000 | loss 0.0163
step  19000 / 25000 | loss 0.0157
step  19500 / 25000 | loss 0.0166
step  20000 / 25000 | loss 0.0157
step  20500 / 25000 | loss 0.0161
step  21000 / 25000 | loss 0.0174
step  21500 / 25000 | loss 0.0165
step  22000 / 25000 | loss 0.0162
step  22500 / 25000 | loss 0.0164
step  23000 / 25000 | loss 0.0168
step  23500 / 25000 | loss 0.0168
step  24000 / 25000 | loss 0.0155
step  24500 / 25000 | loss 0.0154
step  25000 / 25000 | loss 0.0160
Model saved to denoiser.pt
