step    500 / 25000 | loss 0.0272
step   1000 / 25000 | loss 0.0262
step   1500 / 25000 | loss 0.0284
step   2000 / 25000 | loss 0.0277
step   2500 / 25000 | loss 0.0263
step   3000 / 25000 | loss 0.0267
step   3500 / 25000 | loss 0.0275
step   4000 / 25000 | loss 0.0267
step   4500 / 25000 | loss 0.0276
step   5000 / 25000 | loss 0.0257
step   5500 / 25000 | loss 0.0264
step   6000 / 25000 | loss 0.0284
step   6500 / 25000 | loss 0.0261
step   7000 / 25000 | loss 0.0281
step   7500 / 25000 | loss 0.0271
step   8000 / 25000 | loss 0.0273
step   8500 / 25000 | loss 0.0276
step   9000 / 25000 | loss 0.0274
step   9500 / 25000 | loss 0.0274
step  10000 / 25000 | loss 0.0292
step  10500 / 25000 | loss 0.0286
step  11000 / 25000 | loss 0.0272
step  11500 / 25000 | loss 0.0271
step  12000 / 25000 | loss 0.0272
step  12500 / 25000 | loss 0.0278
step  13000 / 25000 | loss 0.0281
step  13500 / 25000 | loss 0.0260
step  14000 / 25000 | loss 0.0263
step  14500 / 25000 | loss 0.0273
step  15000 / 25000 | loss 0.0278
step  15500 / 25000 | loss 0.0283
step  16000 / 25000 | loss 0.0267
step  16500 / 25000 | loss 0.0273
step  17000 / 25000 | loss 0.0269
step  17500 / 25000 | loss 0.0276
step  18000 / 25000 | loss 0.0271
step  18500 / 25000 | loss 0.0270
step  19000 / 25000 | loss 0.0293
step  19500 / 25000 | loss 0.0275
step  20000 / 25000 | loss 0.0276
step  20500 / 25000 | loss 0.0267
step  21000 / 25000 | loss 0.0286
step  21500 / 25000 | loss 0.0275
step  22000 / 25000 | loss 0.0279
step  22500 / 25000 | loss 0.0278
step  23000 / 25000 | loss 0.0267
step  23500 / 25000 | loss 0.0276
step  24000 / 25000 | loss 0.0274
step  24500 / 25000 | loss 0.0277
step  25000 / 25000 | loss 0.0277
Model saved to denoiser.pt
